video,face,label,predicted_labels
video_0,face_0.png,1,"[1, 1, 1, 0]"
video_0,face_1.png,1,"[1, 1, 0, 1]"
video_0,face_2.png,1,"[1, 0, 0, 0]"
video_0,face_3.png,1,"[1, 0, 1, 0]"
video_1,face_0.png,1,"[1, 0, 0, 0]"
video_1,face_1.png,1,"[1, 0, 0, 1]"
video_1,face_2.png,0,"[1, 0, 1, 0]"
video_1,face_3.png,1,"[1, 0, 1, 0]"
video_2,face_0.png,0,"[1, 0, 1, 0]"
video_2,face_1.png,0,"[1, 1, 0, 1]"
video_2,face_2.png,1,"[1, 1, 0, 0]"
video_2,face_3.png,0,"[1, 0, 0, 0]"
video_3,face_0.png,-1,"[1, 0, 1, 0]"
video_3,face_1.png,-1,"[0, 1, 0, 1]"
video_3,face_2.png,-1,"[1, 0, 1, 0]"
video_3,face_3.png,-1,"[1, 0, 1, 0]"
video_4,face_0.png,1,"[1, 1, 0, 1]"
video_4,face_1.png,0,"[1, 0, 1, 1]"
video_5,face_0.png,-1,"[1, 0, 0, 0]"
video_5,face_1.png,0,"[1, 1, 1, 0]"
video_5,face_2.png,0,"[1, 1, 1, 0]"
video_5,face_3.png,1,"[1, 0, 0, 0]"
video_6,face_0.png,0,"[1, 0, 1, 0]"
video_6,face_1.png,0,"[1, 1, 1, 0]"
video_6,face_2.png,1,"[1, 1, 1, 0]"
video_6,face_3.png,0,"[1, 0, 1, 0]"
video_7,face_0.png,1,"[1, 0, 1, 0]"
video_7,face_1.png,0,"[1, 0, 0, 1]"
video_7,face_2.png,1,"[1, 0, 1, 0]"
video_7,face_3.png,1,"[1, 1, 1, 0]"
video_8,face_0.png,1,"[1, 1, 1, 0]"
video_8,face_1.png,0,"[1, 0, 1, 0]"
video_8,face_2.png,0,"[1, 1, 0, 1]"
video_8,face_3.png,0,"[0, 1, 1, 0]"
video_9,face_0.png,0,"[1, 1, 0, 1]"
video_9,face_1.png,1,"[1, 0, 1, 0]"
video_9,face_2.png,0,"[1, 1, 1, 0]"
video_9,face_3.png,0,"[1, 0, 0, 0]"
video_10,face_0.png,1,"[1, 1, 0, 1]"
video_10,face_1.png,0,"[1, 1, 1, 0]"
video_10,face_2.png,0,"[0, 0, 1, 0]"
video_10,face_3.png,1,"[0, 0, 0, 1]"
video_11,face_0.png,0,"[1, 1, 0, 1]"
video_11,face_1.png,0,"[0, 1, 0, 1]"
video_11,face_2.png,1,"[1, 0, 1, 0]"
video_11,face_3.png,0,"[1, 0, 1, 1]"
video_12,face_0.png,0,"[1, 0, 0, 0]"
video_12,face_1.png,0,"[1, 0, 1, 0]"
video_12,face_2.png,1,"[1, 0, 1, 0]"
video_12,face_3.png,1,"[1, 1, 1, 0]"
video_13,face_0.png,1,"[1, 0, 1, 0]"
video_13,face_1.png,1,"[1, 0, 1, 0]"
video_13,face_2.png,1,"[1, 1, 1, 0]"
video_13,face_3.png,1,"[1, 1, 0, 1]"
video_14,face_0.png,1,"[0, 0, 0, 0]"
video_14,face_1.png,0,"[1, 1, 1, 0]"
video_14,face_2.png,0,"[1, 0, 1, 0]"
video_14,face_3.png,1,"[1, 0, 1, 0]"
video_15,face_0.png,1,"[1, 0, 0, 1]"
video_15,face_1.png,0,"[1, 1, 0, 1]"
video_15,face_2.png,1,"[1, 1, 0, 1]"
video_15,face_3.png,0,"[0, 1, 1, 0]"
video_16,face_0.png,-1,"[1, 0, 1, 0]"
video_16,face_1.png,1,"[1, 0, 1, 1]"
video_16,face_2.png,-1,"[1, 1, 0, 1]"
video_16,face_3.png,-1,"[1, 0, 0, 0]"
video_17,face_0.png,-1,"[1, 0, 0, 0]"
video_18,face_0.png,1,"[1, 0, 0, 1]"
video_18,face_1.png,0,"[1, 0, 0, 1]"
video_18,face_2.png,-1,"[1, 0, 0, 0]"
video_18,face_3.png,1,"[1, 0, 0, 0]"
video_19,face_0.png,-1,"[1, 0, 0, 1]"
video_19,face_1.png,0,"[1, 1, 0, 0]"
video_19,face_2.png,-1,"[1, 0, 0, 0]"
video_19,face_3.png,1,"[1, 0, 0, 0]"
